Depth low (m),Depth up (m),Run type,Run type val,Number of Classes,X size,Kelp Accuracy
,,spectra,1,3,383,53.3
,,spectra+depth,2,3,383,59.7
,,spectra+depth+sidescan,3,3,326,53
2,4,spectra,1,3,260,65.4
2,4,spectra+depth,2,3,260,63.6
2,4,spectra+depth+sidescan,3,3,214,41.9
4,6,spectra,1,3,123,52
4,6,spectra+depth,2,3,123,64
4,6,spectra+depth+sidescan,3,3,112,60.9
,,spectra,1,2,383,70.1
,,spectra+depth,2,2,383,72.3
,,spectra+depth+sidescan,3,2,326,68.2
2,4,spectra,1,2,260,67.3
2,4,spectra+depth,2,2,260,67.3
2,4,spectra+depth+sidescan,3,2,214,65.1
4,6,spectra,1,2,123,64
4,6,spectra+depth,2,2,123,60
4,6,spectra+depth+sidescan,3,2,112,69.7