Depth low (m),Depth up (m),Run type,Run type val,Number of Classes,X size,Accuracy,MSE,Kappa,Notes
,,getis ord,1,3,375,60,0.72,31.8,
,,getis ord+depth,2,3,375,58.7,0.77,28.5,
,,getis ord+depth+sidescan,3,3,319,68.8,0.5,40.8,
3.00,4.00,getis ord,1,3,180,63.9,0.86,37.4,
3.00,4.00,getis ord+depth,2,3,180,61.1,0.81,30.2,
3.00,4.00,getis ord+depth+sidescan,3,3,178,66.7,0.67,41.7,
0.00,4.00,getis ord,1,3,252,60.8,0.69,29.8,
0.00,4.00,getis ord+depth,2,3,252,60.8,0.69,29.8,
0.00,4.00,getis ord+depth+sidescan,3,3,208,50,1.14,16.7,
,,getis ord,1,2,375,77.3,0.23,53.9,
,,getis ord+depth,2,2,375,72,0.28,43,
,,getis ord+depth+sidescan,3,2,319,65.6,0.34,31.7,
3.00,4.00,getis ord,1,2,180,83.3,0.17,64.9,
3.00,4.00,getis ord+depth,2,2,180,77.8,0.22,54.4,
3.00,4.00,getis ord+depth+sidescan,3,2,178,80.5,0.19,60.6,
0.00,4.00,getis ord,1,2,252,66.7,0.33,29.3,
0.00,4.00,getis ord+depth,2,2,252,66.7,0.33,29.3,
0.00,4.00,getis ord+depth+sidescan,3,2,208,78.6,0.21,55.7,